Frame,Timestamp,Object,Section,State,Position_x,Position_y,Position_z,Rotation_x,Rotation_y,Rotation_z,Scale_x,Scale_y,Scale_z,RightHand_State,LeftHand_State
1340.0,18.6683, baby_yoda, Juguetes, Select,5.5172,1.4209,7.301,0.2934,270.3441,359.6396,0.106,0.106,0.106, Normal, Select
1343.0,18.7093, baby_yoda, Juguetes, Select,5.5172,1.4235,7.3005,1.1024,270.4221,359.2791,0.106,0.106,0.106, Normal, Select
1346.0,18.7502, baby_yoda, Juguetes, Select,5.5183,1.4262,7.3009,2.2997,270.1421,359.0149,0.106,0.106,0.106, Normal, Select
1349.0,18.7919, baby_yoda, Juguetes, Select,5.5189,1.4279,7.3009,2.949,270.0526,358.6933,0.106,0.106,0.106, Normal, Select
1352.0,18.8339, baby_yoda, Juguetes, Select,5.5186,1.4289,7.3005,3.2516,270.2211,358.4266,0.106,0.106,0.106, Normal, Select
1355.0,18.8759, baby_yoda, Juguetes, Select,5.5191,1.4273,7.3004,3.1513,270.267,358.587,0.106,0.106,0.106, Normal, Select
1358.0,18.9174, baby_yoda, Juguetes, Select,5.5191,1.4269,7.2997,3.169,270.4635,358.5363,0.106,0.106,0.106, Normal, Select
1361.0,18.9591, baby_yoda, Juguetes, Select,5.5178,1.428,7.2991,3.4566,270.9152,358.2227,0.106,0.106,0.106, Normal, Select
1364.0,19.0006, baby_yoda, Juguetes, Select,5.5164,1.4296,7.2985,3.666,271.3218,357.8572,0.106,0.106,0.106, Normal, Select
1367.0,19.0424, baby_yoda, Juguetes, Select,5.5163,1.4287,7.2991,3.6122,271.2841,357.9951,0.106,0.106,0.106, Normal, Select
1370.0,19.0841, baby_yoda, Juguetes, Select,5.5163,1.428,7.3006,3.5617,271.1833,358.0298,0.106,0.106,0.106, Normal, Select
1373.0,19.1258, baby_yoda, Juguetes, Select,5.5125,1.4245,7.3089,4.0261,271.2493,358.1331,0.106,0.106,0.106, Normal, Select
1376.0,19.1671, baby_yoda, Juguetes, Select,5.4991,1.4193,7.3246,6.1017,272.0189,358.2849,0.106,0.106,0.106, Normal, Select
1379.0,19.2086, baby_yoda, Juguetes, Select,5.4833,1.4136,7.3387,7.4529,272.8856,358.2032,0.106,0.106,0.106, Normal, Select
1382.0,19.2507, baby_yoda, Juguetes, Select,5.4609,1.4015,7.3562,8.1931,274.0298,358.1533,0.106,0.106,0.106, Normal, Select
1385.0,19.292, baby_yoda, Juguetes, Select,5.4398,1.3915,7.3736,8.5545,275.2866,357.8387,0.106,0.106,0.106, Normal, Select
1388.0,19.335, baby_yoda, Juguetes, Select,5.4162,1.3794,7.3997,7.6742,275.661,357.2927,0.106,0.106,0.106, Normal, Select
1391.0,19.3759, baby_yoda, Juguetes, Select,5.3964,1.3584,7.4241,5.5107,275.1605,357.8257,0.106,0.106,0.106, Normal, Select
1394.0,19.4183, baby_yoda, Juguetes, Select,5.3899,1.3387,7.441,3.5437,274.221,359.6435,0.106,0.106,0.106, Normal, Select
1397.0,19.46, baby_yoda, Juguetes, Select,5.378,1.3169,7.4606,1.4964,273.1746,1.5751,0.106,0.106,0.106, Normal, Select
1400.0,19.5017, baby_yoda, Juguetes, Select,5.358,1.2918,7.481,357.6846,272.7017,0.8958,0.106,0.106,0.106, Normal, Select
1403.0,19.543, baby_yoda, Juguetes, Select,5.3327,1.2678,7.4936,354.8855,274.8065,1.4113,0.106,0.106,0.106, Normal, Select
1406.0,19.585, baby_yoda, Juguetes, Select,5.3165,1.2364,7.5078,352.4461,275.9034,2.8611,0.106,0.106,0.106, Normal, Select
1409.0,19.6261, baby_yoda, Juguetes, Select,5.3005,1.217,7.5168,353.9075,277.7616,3.4628,0.106,0.106,0.106, Normal, Select
1412.0,19.6687, baby_yoda, Juguetes, Select,5.2878,1.1996,7.5307,353.7551,278.6282,3.6624,0.106,0.106,0.106, Normal, Select
1415.0,19.7096, baby_yoda, Juguetes, Select,5.2856,1.168,7.5585,349.8506,275.4278,5.173,0.106,0.106,0.106, Normal, Select
1418.0,19.7509, baby_yoda, Juguetes, Select,5.2839,1.1515,7.5844,345.9502,270.1208,6.0602,0.106,0.106,0.106, Normal, Select
1421.0,19.7925, baby_yoda, Juguetes, Select,5.2925,1.1486,7.5958,344.6198,266.5737,2.5587,0.106,0.106,0.106, Normal, Select
1424.0,19.8352, baby_yoda, Juguetes, Select,5.297,1.138,7.609,343.1463,263.9825,0.5711,0.106,0.106,0.106, Normal, Select
1427.0,19.877, baby_yoda, Juguetes, Select,5.2974,1.1437,7.6102,344.0504,264.9086,353.7972,0.106,0.106,0.106, Normal, Select
1430.0,19.9182, baby_yoda, Juguetes, Select,5.2967,1.1405,7.6172,343.5681,264.6219,350.0319,0.106,0.106,0.106, Normal, Select
1433.0,19.9602, baby_yoda, Juguetes, Select,5.2976,1.138,7.6281,343.6554,263.1662,348.732,0.106,0.106,0.106, Normal, Select
1436.0,20.0021, baby_yoda, Juguetes, Select,5.3038,1.1313,7.6483,343.6385,260.0519,348.3097,0.106,0.106,0.106, Normal, Select
1439.0,20.0431, baby_yoda, Juguetes, Select,5.3115,1.1291,7.6703,343.1078,257.8832,346.1687,0.106,0.106,0.106, Normal, Select
1442.0,20.0852, baby_yoda, Juguetes, Select,5.3196,1.1212,7.6945,340.6295,255.42,343.7292,0.106,0.106,0.106, Normal, Select
1445.0,20.1265, baby_yoda, Juguetes, Select,5.3308,1.1038,7.7223,337.3875,251.2882,342.2082,0.106,0.106,0.106, Normal, Select
1448.0,20.1682, baby_yoda, Juguetes, Select,5.3425,1.0937,7.7496,336.0842,247.1749,339.8416,0.106,0.106,0.106, Normal, Select
1451.0,20.2097, baby_yoda, Juguetes, Select,5.348,1.1019,7.7674,336.7499,244.7231,336.404,0.106,0.106,0.106, Normal, Select
1454.0,20.2512, baby_yoda, Juguetes, Select,5.3527,1.0945,7.7853,333.2292,242.1316,334.1555,0.106,0.106,0.106, Normal, Select
1457.0,20.2936, baby_yoda, Juguetes, Select,5.3556,1.0812,7.8059,330.0348,238.0749,334.7537,0.106,0.106,0.106, Normal, Select
1460.0,20.3351, baby_yoda, Juguetes, Select,5.3595,1.0789,7.8358,329.6481,232.2008,335.7743,0.106,0.106,0.106, Normal, Select
1463.0,20.3776, baby_yoda, Juguetes, Select,5.3625,1.0894,7.8719,331.5169,226.5692,335.9843,0.106,0.106,0.106, Normal, Select
1466.0,20.4184, baby_yoda, Juguetes, Select,5.3612,1.0933,7.9076,330.5689,222.3941,333.361,0.106,0.106,0.106, Normal, Select
1469.0,20.461, baby_yoda, Juguetes, Select,5.3568,1.0858,7.927,327.548,221.2291,330.5302,0.106,0.106,0.106, Normal, Select
1472.0,20.5024, baby_yoda, Juguetes, Select,5.352,1.09,7.9432,325.8983,221.8466,325.6664,0.106,0.106,0.106, Normal, Select
1475.0,20.5446, baby_yoda, Juguetes, Select,5.3487,1.1008,7.9593,322.9088,224.6686,317.0455,0.106,0.106,0.106, Normal, Select
1478.0,20.5854, baby_yoda, Juguetes, Select,5.3491,1.094,7.9795,316.4493,225.5775,310.3546,0.106,0.106,0.106, Normal, Select
1481.0,20.6277, baby_yoda, Juguetes, Select,5.351,1.0959,7.9909,312.1894,229.1799,303.0331,0.106,0.106,0.106, Normal, Select
1484.0,20.6692, baby_yoda, Juguetes, Select,5.3461,1.0998,7.9978,310.0722,232.6943,296.8985,0.106,0.106,0.106, Normal, Select
1487.0,20.7103, baby_yoda, Juguetes, Select,5.3359,1.107,8.0108,310.9385,233.4243,294.6612,0.106,0.106,0.106, Normal, Select
1490.0,20.7514, baby_yoda, Juguetes, Select,5.3278,1.1012,8.0349,309.3322,229.8215,294.9492,0.106,0.106,0.106, Normal, Select
1493.0,20.7935, baby_yoda, Juguetes, Select,5.3204,1.0845,8.0566,306.3679,221.148,300.1454,0.106,0.106,0.106, Normal, Select
1496.0,20.8354, baby_yoda, Juguetes, Select,5.3162,1.0686,8.0692,303.2301,215.0396,303.6196,0.106,0.106,0.106, Normal, Select
1499.0,20.8771, baby_yoda, Juguetes, Select,5.3159,1.0665,8.0745,303.5941,211.2576,306.8269,0.106,0.106,0.106, Normal, Select
1502.0,20.9197, baby_yoda, Juguetes, Select,5.3228,1.0703,8.0704,305.5424,214.1823,305.2418,0.106,0.106,0.106, Normal, Select
1505.0,20.9607, baby_yoda, Juguetes, Select,5.3266,1.0688,8.0713,306.0871,215.1606,304.4175,0.106,0.106,0.106, Normal, Select
1508.0,21.0025, baby_yoda, Juguetes, Select,5.3335,1.0743,8.0654,307.2836,219.9646,300.8533,0.106,0.106,0.106, Normal, Select
1511.0,21.0442, baby_yoda, Juguetes, Select,5.3354,1.0808,8.0631,308.6104,221.8252,298.9974,0.106,0.106,0.106, Normal, Select
1514.0,21.0855, baby_yoda, Juguetes, Select,5.3357,1.0842,8.0632,309.4109,221.8444,298.6406,0.106,0.106,0.106, Normal, Select
1517.0,21.1272, baby_yoda, Juguetes, Select,5.3358,1.0858,8.065,310.1488,220.5447,299.6169,0.106,0.106,0.106, Normal, Select
1520.0,21.1687, baby_yoda, Juguetes, Select,5.3366,1.0846,8.0664,310.4604,218.583,301.8361,0.106,0.106,0.106, Normal, Select
1523.0,21.2102, baby_yoda, Juguetes, Select,5.3381,1.0841,8.0669,310.7438,217.8035,302.8661,0.106,0.106,0.106, Normal, Select
1526.0,21.252, baby_yoda, Juguetes, Select,5.3401,1.0861,8.0649,311.1233,219.1333,302.0504,0.106,0.106,0.106, Normal, Select
1529.0,21.294, baby_yoda, Juguetes, Select,5.3418,1.089,8.0624,311.6926,220.7521,300.9716,0.106,0.106,0.106, Normal, Select
1532.0,21.3355, baby_yoda, Juguetes, Select,5.343,1.0929,8.0592,312.3188,222.7458,299.5502,0.106,0.106,0.106, Normal, Select
1535.0,21.3779, baby_yoda, Juguetes, Select,5.3425,1.0933,8.0567,312.1041,223.2289,299.7751,0.106,0.106,0.106, Normal, Select
1538.0,21.4197, baby_yoda, Juguetes, Select,5.3416,1.0942,8.0548,311.7104,223.9172,299.4871,0.106,0.106,0.106, Normal, Select
1541.0,21.461, baby_yoda, Juguetes, Select,5.3409,1.0954,8.0547,311.4998,224.7466,298.459,0.106,0.106,0.106, Normal, Select
1544.0,21.5025, baby_yoda, Juguetes, Select,5.3398,1.098,8.0558,311.6165,225.2992,297.4126,0.106,0.106,0.106, Normal, Select
1547.0,21.5439, baby_yoda, Juguetes, Select,5.3388,1.1004,8.056,311.9557,225.4906,296.9357,0.106,0.106,0.106, Normal, Select
1550.0,21.5857, baby_yoda, Juguetes, Select,5.3389,1.1015,8.0547,312.1384,225.948,296.7262,0.106,0.106,0.106, Normal, Select
1553.0,21.627, baby_yoda, Juguetes, Select,5.3386,1.1004,8.0545,311.8296,225.9235,296.9844,0.106,0.106,0.106, Normal, Select
1556.0,21.6688, baby_yoda, Juguetes, Select,5.3387,1.0997,8.0545,311.6365,225.8712,297.1426,0.106,0.106,0.106, Normal, Select
1559.0,21.7107, baby_yoda, Juguetes, Select,5.3387,1.0997,8.0545,311.6282,225.8755,297.1389,0.106,0.106,0.106, Normal, Select
1562.0,21.752, baby_yoda, Juguetes, Select,5.3388,1.1,8.0544,311.7066,225.8875,297.1046,0.106,0.106,0.106, Normal, Select
1564.0,21.7839, baby_yoda, Juguetes, Select,5.3391,1.101,8.054,311.9052,226.0507,296.9452,0.106,0.106,0.106, Normal, Select
1567.0,21.8235, baby_yoda, Juguetes, Select,5.3395,1.102,8.0539,312.1308,226.2159,296.709,0.106,0.106,0.106, Normal, Select
1570.0,21.8649, baby_yoda, Juguetes, Select,5.3394,1.1025,8.0552,312.3039,226.1098,296.4905,0.106,0.106,0.106, Normal, Select
1573.0,21.9062, baby_yoda, Juguetes, Select,5.339,1.1029,8.0559,312.4138,225.8903,296.4923,0.106,0.106,0.106, Normal, Select
1576.0,21.9473, baby_yoda, Juguetes, Select,5.3386,1.1024,8.0566,312.1965,225.8859,296.2347,0.106,0.106,0.106, Normal, Select
1579.0,21.9889, baby_yoda, Juguetes, Select,5.3384,1.1018,8.0571,311.897,225.8493,296.2774,0.106,0.106,0.106, Normal, Select
1582.0,22.0304, baby_yoda, Juguetes, Select,5.3383,1.1021,8.0571,311.7745,226.0064,296.1435,0.106,0.106,0.106, Normal, Select
1585.0,22.0717, baby_yoda, Juguetes, Select,5.3383,1.1022,8.0569,311.8061,225.9272,296.3373,0.106,0.106,0.106, Normal, Select
1588.0,22.1132, baby_yoda, Juguetes, Select,5.3383,1.1016,8.0569,311.7142,225.5091,296.8324,0.106,0.106,0.106, Normal, Select
1591.0,22.155, baby_yoda, Juguetes, Select,5.3385,1.1012,8.0564,311.7713,225.418,297.1302,0.106,0.106,0.106, Normal, Select
1594.0,22.1971, baby_yoda, Juguetes, Select,5.3388,1.101,8.0558,311.9199,225.5086,297.1914,0.106,0.106,0.106, Normal, Select
1597.0,22.2383, baby_yoda, Juguetes, Select,5.3388,1.0998,8.0561,312.0409,225.1714,297.4769,0.106,0.106,0.106, Normal, Select
1600.0,22.28, baby_yoda, Juguetes, Select,5.3386,1.0988,8.0561,312.0537,224.9816,297.6723,0.106,0.106,0.106, Normal, Select
1603.0,22.3217, baby_yoda, Juguetes, Select,5.3389,1.0985,8.0559,312.0695,225.0632,297.6207,0.106,0.106,0.106, Normal, Select
1606.0,22.3638, baby_yoda, Juguetes, Select,5.339,1.0984,8.0556,312.0296,225.2973,297.4681,0.106,0.106,0.106, Normal, Select
1609.0,22.4048, baby_yoda, Juguetes, Select,5.3393,1.099,8.0545,312.1081,225.9695,297.0351,0.106,0.106,0.106, Normal, Select
1612.0,22.4467, baby_yoda, Juguetes, Select,5.3401,1.0999,8.0526,312.1455,227.3132,296.018,0.106,0.106,0.106, Normal, Select
1615.0,22.4873, baby_yoda, Juguetes, Select,5.3402,1.1016,8.0524,312.4701,227.9392,295.2863,0.106,0.106,0.106, Normal, Select
1617.0,22.5175, baby_yoda, Juguetes, Disabled,5.3455,1.111,8.0302,0.0,270.0002,0.0,0.106,0.106,0.106, Normal, Normal
4407.0,61.2665, quemador, Decoracion, Select,-4.9802,1.9503,4.6066,357.2996,329.3967,355.2279,0.3139,0.3139,0.3139, Normal, Select
4410.0,61.307, quemador, Decoracion, Select,-4.9803,1.9506,4.6063,357.5427,329.224,355.3728,0.3139,0.3139,0.3139, Normal, Select
4413.0,61.3494, quemador, Decoracion, Select,-4.9807,1.9508,4.6057,357.6985,328.9445,355.6196,0.3139,0.3139,0.3139, Normal, Select
4416.0,61.3904, quemador, Decoracion, Select,-4.9801,1.9504,4.6032,357.4767,328.6268,355.8995,0.3139,0.3139,0.3139, Normal, Select
4419.0,61.4327, quemador, Decoracion, Select,-4.9778,1.9501,4.6009,357.1039,328.4626,355.8681,0.3139,0.3139,0.3139, Normal, Select
4422.0,61.4756, quemador, Decoracion, Select,-4.9729,1.9496,4.5983,356.5204,328.3417,355.5592,0.3139,0.3139,0.3139, Normal, Select
4425.0,61.5159, quemador, Decoracion, Select,-4.9701,1.9494,4.5975,356.3239,328.0643,355.4693,0.3139,0.3139,0.3139, Normal, Select
4428.0,61.5572, quemador, Decoracion, Select,-4.9697,1.9493,4.5972,356.4235,327.4327,355.796,0.3139,0.3139,0.3139, Normal, Select
4431.0,61.5996, quemador, Decoracion, Select,-4.9684,1.9492,4.597,356.5024,326.7248,356.03,0.3139,0.3139,0.3139, Normal, Select
4434.0,61.6429, quemador, Decoracion, Select,-4.9664,1.9497,4.5984,356.6169,326.3247,355.8407,0.3139,0.3139,0.3139, Normal, Select
4437.0,61.6825, quemador, Decoracion, Select,-4.9625,1.9492,4.5978,356.2575,325.9972,355.4853,0.3139,0.3139,0.3139, Normal, Select
4440.0,61.7243, quemador, Decoracion, Select,-4.9594,1.9488,4.597,355.9133,325.8578,355.1633,0.3139,0.3139,0.3139, Normal, Select
4443.0,61.7657, quemador, Decoracion, Select,-4.9603,1.9492,4.5979,356.0203,326.4467,354.95,0.3139,0.3139,0.3139, Normal, Select
4445.0,61.7966, quemador, Decoracion, Select,-4.9622,1.95,4.5994,356.3333,326.8179,354.9143,0.3139,0.3139,0.3139, Normal, Select
4448.0,61.8349, quemador, Decoracion, Select,-4.9657,1.9512,4.6022,356.9084,327.2361,354.9739,0.3139,0.3139,0.3139, Normal, Select
4451.0,61.8775, quemador, Decoracion, Select,-4.973,1.9545,4.611,358.5023,327.7435,354.8748,0.3139,0.3139,0.3139, Normal, Select
4454.0,61.9189, quemador, Decoracion, Select,-4.982,1.9568,4.6209,0.0178,328.1968,354.8172,0.3139,0.3139,0.3139, Normal, Select
4457.0,61.9618, quemador, Decoracion, Select,-5.0198,1.9577,4.6538,4.3274,329.5043,356.2841,0.3139,0.3139,0.3139, Normal, Select
4460.0,62.002, quemador, Decoracion, Select,-5.0495,1.9567,4.6798,7.1455,330.683,357.5632,0.3139,0.3139,0.3139, Normal, Select
4463.0,62.0447, quemador, Decoracion, Hover,-5.0648,1.9557,4.6944,8.6443,331.3362,358.2845,0.3139,0.3139,0.3139, Normal, Hover
4634.0,64.4222, quemador, Decoracion, Select,-4.9845,1.9503,4.6118,357.1305,329.4375,355.1544,0.3139,0.3139,0.3139, Normal, Select
4637.0,64.4631, quemador, Decoracion, Select,-4.9826,1.9514,4.6142,357.4413,329.4816,354.6137,0.3139,0.3139,0.3139, Normal, Select
4640.0,64.5038, quemador, Decoracion, Select,-4.982,1.9515,4.6148,357.5347,329.4549,354.444,0.3139,0.3139,0.3139, Normal, Select
4643.0,64.5452, quemador, Decoracion, Select,-4.9806,1.9529,4.6185,357.9337,329.5891,353.8239,0.3139,0.3139,0.3139, Normal, Select
4646.0,64.5875, quemador, Decoracion, Select,-4.979,1.9543,4.6219,358.2556,330.0349,353.1121,0.3139,0.3139,0.3139, Normal, Select
4649.0,64.6279, quemador, Decoracion, Select,-4.9785,1.9558,4.6252,358.7109,330.7073,352.5122,0.3139,0.3139,0.3139, Normal, Select
4652.0,64.6698, quemador, Decoracion, Select,-4.9792,1.9572,4.6279,359.3327,330.8982,352.3121,0.3139,0.3139,0.3139, Normal, Select
4655.0,64.7107, quemador, Decoracion, Select,-4.9809,1.9578,4.6289,359.8295,330.9258,352.463,0.3139,0.3139,0.3139, Normal, Select
4657.0,64.7542, quemador, Decoracion, Select,-4.9817,1.9579,4.6283,359.9638,330.8982,352.6107,0.3139,0.3139,0.3139, Normal, Select
4660.0,64.7942, quemador, Decoracion, Select,-4.9818,1.9589,4.6304,0.3539,330.8832,352.4775,0.3139,0.3139,0.3139, Normal, Select
4663.0,64.8358, quemador, Decoracion, Select,-4.9814,1.9587,4.6297,0.1571,331.1396,352.402,0.3139,0.3139,0.3139, Normal, Select
